time,x,y,vx,vy
1144800,145655262968.84915,33800938377.02533,-6736.806278942433,29026.252398526114
1166400,145507049431.26974,34427279206.53005,-6861.7378508988795,28997.26062521856
1188000,145356140041.67746,35052982191.68077,-6986.54581445811,28967.730794014875
1209600,145202537520.13092,35678035721.59414,-7111.227849376138,28937.66342191521
1231200,145046244636.76126,36302428196.77066,-7235.781637483675,28907.05903595023
1252800,144887264211.7263,36926148029.31121,-7360.204862729705,28875.918173173563
1274400,144725599115.16382,37549183643.13334,-7484.495211225037,28844.24138065406
1296000,144561252267.14404,38171523474.18745,-7608.650371285829,28812.02921546789
1317600,144394226637.62094,38793155970.67276,-7732.66803347711,28779.28224469041
1339200,144224525246.38275,39414069593.253136,-7856.545890656254,28746.001045387868
1360800,144052151163.0016,40034252815.27269,-7980.281638016452,28712.186204608905
1382400,143877107506.78198,40653694122.97121,-8103.872973130146,28677.838319375867
1404000,143699397446.70856,41272382015.69941,-8227.317595992445,28642.957996675934
1425600,143519024201.39276,41890305006.13397,-8350.613209064511,28607.54585345204
1447200,143335991039.0187,42507451620.49239,-8473.757517316924,28571.602516593615
1468800,143150301277.28802,43123810398.74762,-8596.748228273009,28535.128622927143
1490400,142961958283.3637,43739369894.84248,-8719.583052052143,28498.124819206503
1512000,142770965473.8132,44354118676.903915,-8842.25970141303,28460.591762103155
1533600,142577326314.55038,44968045327.456955,-8964.775891796946,28422.5301181961
1555200,142381044320.77676,45581138443.63853,-9087.129341370954,28383.940563961674
1576800,142182123056.92163,46193386637.41101,-9209.317771071079,28344.823785763136
1598400,141980566136.5813,46804778535.77556,-9331.338904645463,28305.18047984007
1620000,141776377222.45743,47415302780.98518,-9453.190468697478,28265.0113522976
1641600,141569560026.2945,48024948030.757645,-9574.8701927288,28224.317119095413
1663200,141360118308.81616,48633702958.48804,-9696.375809182464,28183.098506036586
1684800,141148055879.66086,49241556253.461174,-9817.70505348586,28141.356248756223
1706400,140933376597.31644,49848496621.063705,-9938.855664093717,28099.091092709907
1728000,140716084369.05377,50454512782.996,-10059.82538253102,28056.303793161962
1749600,140496183150.85956,51059593477.48375,-10180.611953435917,28012.995115173508
1771200,140273676947.36813,51663727459.4893,-10301.213124602564,27969.165833590352
1792800,140048569811.79242,52266903500.92277,-10421.626647023944,27924.816733030668
1814400,139820865845.85382,52869110390.85281,-10541.850274934633,27879.948607872495
1836000,139590569199.7114,53470336935.71722,-10661.881765853534,27834.562262241034
1857600,139357684071.88986,54070571959.53313,-10781.718880626557,27788.658509995777
1879200,139122214709.20694,54669804304.107025,-10901.359383469264,27742.23817471743
1900800,138884165406.69952,55268022829.24443,-11020.801042009463,27695.302089694636
1922400,138643540507.5492,55865216412.9593,-11140.041627329763,27647.851097910538
1944000,138400344403.0066,56461373951.68313,-11259.078914010068,27599.88605202912
1965600,138154581532.3149,57056484360.47377,-11377.91068017004,27551.407814381386
1987200,137906256382.63266,57650536573.223915,-11496.534707511506,27502.417256951325
2008800,137655373488.95526,58243519542.86933,-11614.94878136081,27452.915261361708
2030400,137401937434.0359,58835422241.5967,-11733.150690711127,27402.902718859674
2052000,137145952848.30539,59426233661.05123,-11851.138228264712,27352.38053030215
2073600,136887424409.79112,60015942812.54388,-11968.90919047511,27301.349606141062
2095200,136626356844.03519,60604538727.2583,-12086.461377589303,27249.81086640837
2116800,136362754924.01149,61192010456.45744,-12203.792593689808,27197.765240700905
2138400,136096623470.04198,61778347071.689804,-12320.900646736722,27145.213668165023
2160000,135827967349.712,62363537664.99539,-12437.7833486097,27092.157097481067
2181600,135556791477.78477,62947571349.1113,-12554.4385151499,27038.596486847655
2203200,135283100816.11482,63530437257.676956,-12670.863966201836,26984.532803965743
2224800,135006900373.56067,64112124545.43904,-12787.057525655213,26929.967026022547
2246400,134728195205.89656,64692622388.456024,-12903.01702148667,26874.900139675243
2268000,134446990415.72325,65271919984.30237,-13018.740285801478,26819.333141034487
2289600,134163291152.37794,65850006552.27236,-13134.225154875174,26763.26703564776
2311200,133877102611.84332,66426871333.58359,-13249.469469195135,26706.702838482513
2332800,133588430036.65567,67002503591.580025,-13364.471073502093,26649.641573909117
2354400,133297278715.8121,67576892611.93479,-13479.22781683157,26592.084275683654
2376000,133003653984.67691,68150027702.85249,-13593.737552555269,26534.031986930488
2397600,132707561224.887,68721898195.27118,-13707.998138422392,26475.485760124677
2419200,132409005864.25641,69292493443.06398,-13822.007436600885,26416.446657074175
2440800,132107993376.68008,69861802823.24026,-13935.763313718626,26356.915748901873
